Department,Category,Condition Group,Sales Week,Gross Revenue,Return Value,Net Item Revenue (Fulfilled),Gross Items (Fullfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory
Kitchen and Dining,Gadgets,Perfect,1/13/19,194,0,194,4,4,5,0.31,243,14.63,27.02,614,9.9,698
Kitchen and Dining,Gadgets,Perfect,1/6/19,87,0,87,2,2,3,0.13,109,11.09,11.48,886,14,1006
Kitchen and Dining,Gadgets,Perfect,12/30/18,285.83,40.83,245,7,6,7,0.3,306,13.86,10.64,847,14,963
Kitchen and Dining,Gadgets,Perfect,12/23/18,1340,0,1340,19,19,16,0.66,1675,5.85,7.98,606,10,689
Kitchen and Dining,Gadgets,Perfect,12/16/18,950.4,86.4,864,11,10,10,0.3,1080,20.02,9.73,1739,23,1976
Kitchen and Dining,Gadgets,Perfect,12/9/18,396,0,396,7,7,7,0.28,495,41.81,22.12,1840,18,2091
Kitchen and Dining,Gadgets,Perfect,12/2/18,1359,0,1359,15,15,16,0.47,1699,19.87,24.5,1553,17,1765
Kitchen and Dining,Gadgets,Perfect,11/25/18,692,0,692,11,11,11,0.31,865,59.37,31.43,2456,24,2791
Kitchen and Dining,Gadgets,Perfect,11/18/18,985.6,89.6,896,11,10,9,0.23,1120,11.32,29.19,2988,33,3395
Kitchen and Dining,Gadgets,Perfect,11/11/18,568,0,568,6,6,6,0.14,710,37.42,26.88,3280,38,3728
Kitchen and Dining,Gadgets,Perfect,11/4/18,452.67,64.67,388,7,6,6,0.21,485,78.62,49.63,1686,23,1916
Kitchen and Dining,Gadgets,Perfect,10/28/18,188,0,188,3,3,3,0.19,235,52.13,99.96,602,13,684
Kitchen and Dining,Gadgets,Perfect,10/21/18,255.6,42.6,213,6,5,4,0.25,266,121.2,104.16,671,15,763
Kitchen and Dining,Gadgets,Perfect,10/14/18,143,0,143,3,3,3,0.14,179,73.54,98.84,837,19,951
Kitchen and Dining,Gadgets,Perfect,10/7/18,258,129,129,2,1,4,0.05,161,96.25,96.6,894,20,1016
Kitchen and Dining,Gadgets,Great,1/13/19,127.5,42.5,85,3,2,2,0.67,106,14.17,16.45,59,1,68
Kitchen and Dining,Gadgets,Great,1/6/19,0,0,0,0,0,0,0,0,0,12.67,158,3,180
Kitchen and Dining,Gadgets,Great,12/30/18,223.75,44.75,179,5,4,4,0.67,224,19.79,16.59,118,2,134
Kitchen and Dining,Gadgets,Great,12/23/18,284,142,142,4,2,2,0.29,178,5.7,12.81,283,5,321
Kitchen and Dining,Gadgets,Great,12/16/18,364.8,60.8,304,6,5,5,0.46,380,1.31,9.38,371,6,421
Kitchen and Dining,Gadgets,Great,12/9/18,82,0,82,2,2,2,0.33,103,94.86,24.15,293,4,333
Kitchen and Dining,Gadgets,Great,12/2/18,142,71,71,2,1,1,0.2,89,0.15,36.4,208,4,236
Kitchen and Dining,Gadgets,Great,11/25/18,522,87,435,6,5,5,0.56,544,8.09,21.07,208,4,236
Kitchen and Dining,Gadgets,Great,11/18/18,682.71,151.71,531,9,7,6,0.47,664,5.7,17.15,655,8,744
Kitchen and Dining,Gadgets,Great,11/11/18,201.33,50.33,151,4,3,3,0.2,189,3.77,12.6,834,12,948
Kitchen and Dining,Gadgets,Great,11/4/18,0,0,0,0,0,0,0,0,0,17.64,314,6,356
Kitchen and Dining,Gadgets,Great,10/28/18,81,0,81,2,2,2,0.67,101,14.01,50.33,45,1,51
Kitchen and Dining,Gadgets,Great,10/21/18,94,0,94,2,2,2,0.4,118,9.09,32.55,110,3,125
Kitchen and Dining,Gadgets,Great,10/14/18,100,50,50,2,1,1,0.25,63,13.4,34.16,132,3,150
Kitchen and Dining,Gadgets,Great,10/7/18,50,0,50,1,1,1,0.2,63,15.63,31.57,191,4,218
Kitchen and Dining,Gadgets,OK,12/16/18,56,0,56,1,1,1,1,70,1.23,3.71,0,0,0
Kitchen and Dining,Gadgets,OK,12/9/18,20,0,20,1,1,1,1,25,4.08,4.48,0,0,0
Kitchen and Dining,Gadgets,OK,12/2/18,0,0,0,0,0,0,0,0,0,6.72,22,1,25
Kitchen and Dining,Gadgets,OK,11/25/18,32,16,16,2,1,1,1,20,7.16,4.55,0,0,0
Kitchen and Dining,Gadgets,OK,11/18/18,280,140,140,2,1,1,0.5,175,6.39,6.44,13,1,15
Kitchen and Dining,Gadgets,OK,11/11/18,0,0,0,0,0,0,0,0,0,2.1,178,2,203
Kitchen and Dining,Gadgets,OK,11/4/18,280,0,280,2,2,2,1,350,0.54,1.96,0,0,0
Kitchen and Dining,Pots,Perfect,1/13/19,13,0,13,1,1,1,0.11,19,13.55,16.87,182,8,324
Kitchen and Dining,Pots,Perfect,1/6/19,0,0,0,0,0,0,0,0,0,12.04,196,9,350
Kitchen and Dining,Pots,Perfect,12/30/18,140,0,140,6,6,6,0.4,200,4.16,6.16,196,9,350
Kitchen and Dining,Pots,Perfect,12/23/18,58,0,58,3,3,3,0.27,83,17.71,5.39,217,8,387
Kitchen and Dining,Pots,Perfect,12/16/18,21,0,21,1,1,1,0.25,30,2,22.75,70,3,126
Kitchen and Dining,Pots,Perfect,12/9/18,134,0,134,6,6,6,0.75,191,213.75,109.83,37,2,67
Kitchen and Dining,Pots,Perfect,12/2/18,98.67,24.67,74,4,3,3,0.38,106,17.17,88.27,122,5,218
Kitchen and Dining,Pots,Perfect,11/25/18,84,0,84,2,2,2,0.22,120,54.59,105.98,139,7,248
Kitchen and Dining,Pots,Perfect,11/18/18,61.5,20.5,41,3,2,2,0.2,59,409.49,184.66,210,8,375
Kitchen and Dining,Pots,Perfect,11/11/18,21,0,21,1,1,1,0.1,30,406.1,215.53,205,9,365
Kitchen and Dining,Pots,Perfect,11/4/18,381.33,95.33,286,4,3,3,0.23,409,265.42,217.63,219,10,391
Kitchen and Dining,Pots,Perfect,10/28/18,167,0,167,6,6,4,0.33,239,134.06,196.21,249,12,444
Kitchen and Dining,Pots,Perfect,10/21/18,42,21,21,2,1,1,0.07,30,386.85,267.89,207,13,369
Kitchen and Dining,Pots,Perfect,10/14/18,115,0,115,4,4,4,0.22,164,205.13,270.48,221,14,395
Kitchen and Dining,Pots,Perfect,10/7/18,105,35,70,3,2,2,0.11,100,1,257.32,246,16,440
Kitchen and Dining,Pots,Great,12/23/18,126,63,63,2,1,1,1,90,2.54,11.55,0,0,0
Kitchen and Dining,Pots,Great,12/16/18,126,63,63,2,1,1,0.5,90,0.46,19.67,74,1,132
Kitchen and Dining,Pots,Great,12/9/18,678.7,61.7,617,11,10,10,1,881,2.62,5.04,0,0,0
Kitchen and Dining,Pots,Great,12/2/18,14.65,13.65,1,1,0,1,0,1,161.93,26.32,594,8,1061
Kitchen and Dining,Pots,Great,11/25/18,47,0,47,3,3,2,1,67,22.87,20.09,0,0,0
Kitchen and Dining,Pots,Great,11/18/18,170,85,85,2,1,1,0.25,121,4.08,13.93,56,3,100
Kitchen and Dining,Pots,Great,11/11/18,600,400,200,3,1,2,0.2,286,2.54,8.82,156,4,279
Kitchen and Dining,Pots,Great,11/4/18,439.5,146.5,293,3,2,2,0.4,419,2,5.81,216,3,385
Kitchen and Dining,Pots,Great,10/28/18,351,117,234,6,4,4,0.57,334,1.93,3.15,122,3,218
Kitchen and Dining,Pots,Great,10/21/18,154.5,51.5,103,3,2,2,0.33,147,38.04,11.83,74,4,132
Kitchen and Dining,Pots,Great,10/14/18,0,0,0,0,0,0,0,0,0,35,13,1,24
Kitchen and Dining,Pots,Great,10/7/18,88,44,44,2,1,1,0.5,63,25.64,44.1,13,1,24
Kitchen and Dining,Pots,OK,12/30/18,17,0,17,1,1,1,1,24,3.31,3.78,0,0,0
Kitchen and Dining,Pots,OK,12/23/18,0,0,0,0,0,0,0,0,0,1.68,20,1,35
Kitchen and Dining,Pots,OK,12/9/18,17,0,17,1,1,1,1,24,0.23,0.35,0,0,0
Kitchen and Dining,Pots,OK,12/2/18,4,0,4,1,1,1,1,6,65.6,60.48,0,0,0
Kitchen and Dining,Pots,OK,11/25/18,22,0,22,1,1,1,0.5,31,68.61,60.13,4,1,8
Kitchen and Dining,Pots,OK,11/18/18,154,0,154,1,1,1,0.33,220,12.4,39.27,29,2,51
Kitchen and Dining,Pots,OK,11/11/18,0,0,0,0,0,0,0,0,0,32.27,161,3,287
Kitchen and Dining,Pots,OK,11/4/18,0,0,0,0,0,0,0,0,0,27.37,161,3,287
Kitchen and Dining,Pots,OK,10/28/18,14,0,14,1,1,1,0.33,20,2.46,18.76,29,2,51
Kitchen and Dining,Pots,OK,10/21/18,0,0,0,0,0,0,0,0,0,22.54,45,3,81
Kitchen and Dining,Pots,OK,10/14/18,0,0,0,0,0,0,0,0,0,31.36,29,2,51
Kitchen and Dining,Pots,OK,10/7/18,78,39,39,2,1,1,0.33,56,21.25,25.97,29,2,51
Kitchen and Dining,Pans,Perfect,1/13/19,0,0,0,0,0,0,0,0,0,144.83,266,4,403
Kitchen and Dining,Pans,Perfect,1/6/19,342,171,171,2,1,1,0.2,285,97.1,129.78,266,4,403
Kitchen and Dining,Pans,Perfect,12/30/18,0,171,-171,0,-1,0,-0.33,-285,0,118.58,266,4,403
Kitchen and Dining,Pans,Perfect,12/23/18,0,0,0,0,0,0,0,0,0,174.58,172,2,260
Kitchen and Dining,Pans,Perfect,12/16/18,14,0,14,1,1,1,0.33,23,18.02,168.91,172,2,260
Kitchen and Dining,Pans,Perfect,12/9/18,183,0,183,2,2,2,0.33,305,42.97,126.63,207,4,313
Kitchen and Dining,Pans,Perfect,12/2/18,24,12,12,2,1,1,0.17,20,9.55,124.74,260,5,393
Kitchen and Dining,Pans,Perfect,11/25/18,268.5,89.5,179,3,2,2,0.25,298,81.47,109.97,273,6,413
Kitchen and Dining,Pans,Perfect,11/18/18,126,0,126,2,2,2,0.2,210,69.22,126.63,473,8,717
Kitchen and Dining,Pans,Perfect,11/11/18,128,0,128,1,1,1,0.13,213,53.52,121.94,510,7,773
Kitchen and Dining,Pans,Perfect,11/4/18,336,168,168,2,1,1,0.11,280,34.27,108.71,637,8,965
Kitchen and Dining,Pans,Perfect,10/28/18,439.5,146.5,293,3,2,2,0.2,488,66.91,106.12,800,8,1212
Kitchen and Dining,Pans,Perfect,10/21/18,56,28,28,2,1,1,0.09,47,12.71,94.36,1036,10,1570
Kitchen and Dining,Pans,Perfect,10/14/18,54,27,27,2,1,1,0.08,45,9.7,90.16,1069,11,1620
Kitchen and Dining,Pans,Perfect,10/7/18,0,126,-126,0,-1,0,-0.09,-210,0,81.27,1101,12,1668
Kitchen and Dining,Pans,Great,1/13/19,0,0,0,0,0,0,0,0,0,25.41,11,1,17
Kitchen and Dining,Pans,Great,1/6/19,30,20,10,3,1,1,0.5,17,6.62,19.46,11,1,17
Kitchen and Dining,Pans,Great,12/30/18,0,0,0,0,0,0,0,0,0,15.61,22,2,33
Kitchen and Dining,Pans,Great,12/23/18,0,0,0,0,0,0,,0,0,10.71,0,0,0
Kitchen and Dining,Pans,Great,12/9/18,82,0,82,1,1,1,1,137,8.7,8.75,0,0,0
Kitchen and Dining,Pans,Great,12/2/18,0,0,0,0,0,0,0,0,0,5.95,97,1,147
Kitchen and Dining,Pans,Great,11/25/18,0,0,0,0,0,0,0,0,0,1.05,97,1,147
Kitchen and Dining,Pans,Great,10/28/18,440,220,220,2,1,1,1,367,24.18,23.38,0,0,0
Kitchen and Dining,Pans,Great,10/21/18,0,0,0,0,0,0,0,0,0,20.58,260,1,393
Kitchen and Dining,Pans,Great,10/14/18,48,32,16,3,1,1,0.5,27,8.7,13.3,260,1,393
Kitchen and Dining,Pans,Great,10/7/18,0,0,0,0,0,0,0,0,0,8.61,274,2,415
Kitchen and Dining,Pans,OK,11/25/18,11,0,11,1,1,1,1,18,4.16,13.72,0,0,0
Kitchen and Dining,Pans,OK,11/18/18,0,0,0,0,0,0,0,0,0,10.22,13,1,20
Kitchen and Dining,Serving Utensils,Perfect,1/13/19,446.33,34.33,412,13,12,10,0.12,589,158.31,150.36,6239,88,11141
Kitchen and Dining,Serving Utensils,Perfect,1/6/19,522.67,74.67,448,7,6,6,0.06,640,133.6,144.41,6549,98,11695
Kitchen and Dining,Serving Utensils,Perfect,12/30/18,591.27,49.27,542,12,11,11,0.1,774,54.82,135.38,6845,102,12224
Kitchen and Dining,Serving Utensils,Perfect,12/23/18,436.36,36.36,400,12,11,12,0.09,571,30.11,118.65,7413,109,13237
Kitchen and Dining,Serving Utensils,Perfect,12/16/18,1898,0,1898,11,11,13,0.09,2711,26.18,118.09,7170,110,12803
Kitchen and Dining,Serving Utensils,Perfect,12/9/18,885,0,885,20,20,17,0.15,1264,101.95,118.86,9166,110,16368
Kitchen and Dining,Serving Utensils,Perfect,12/2/18,935,0,935,16,16,17,0.12,1336,50.44,114.73,7740,120,13821
Kitchen and Dining,Serving Utensils,Perfect,11/25/18,594,0,594,9,9,8,0.07,849,99.18,114.24,7764,124,13864
Kitchen and Dining,Serving Utensils,Perfect,11/18/18,530,53,477,10,9,9,0.07,681,107.8,124.04,7972,126,14235
Kitchen and Dining,Serving Utensils,Perfect,11/11/18,458.4,76.4,382,6,5,7,0.04,546,99.48,118.23,8092,129,14449
Kitchen and Dining,Serving Utensils,Perfect,11/4/18,989.06,52.06,937,19,18,15,0.12,1339,64.45,113.82,8382,129,14968
Kitchen and Dining,Serving Utensils,Perfect,10/28/18,145.33,36.33,109,4,3,3,0.02,156,14.94,108.78,9329,144,16659
Kitchen and Dining,Serving Utensils,Perfect,10/21/18,195,0,195,5,5,6,0.04,279,17.63,105.84,8820,137,15750
Kitchen and Dining,Serving Utensils,Perfect,10/14/18,306,0,306,7,7,7,0.05,437,105.57,112.56,8575,131,15312
Kitchen and Dining,Serving Utensils,Perfect,10/7/18,208,104,104,2,1,2,0.01,149,0,111.02,8487,132,15154
Kitchen and Dining,Serving Utensils,Great,1/13/19,0,0,0,0,0,0,0,0,0,170.45,1430,8,2554
Kitchen and Dining,Serving Utensils,Great,1/6/19,206,103,103,2,1,1,0.11,147,196.35,166.95,1430,8,2554
Kitchen and Dining,Serving Utensils,Great,12/30/18,0,174,-174,0,-2,0,-0.29,-249,0,156.66,1558,9,2781
Kitchen and Dining,Serving Utensils,Great,12/23/18,212,0,212,4,4,4,0.36,303,58.44,128.59,1397,7,2495
Kitchen and Dining,Serving Utensils,Great,12/16/18,374.67,93.67,281,4,3,3,0.25,401,109.11,150.92,1522,9,2719
Kitchen and Dining,Serving Utensils,Great,12/9/18,355.5,118.5,237,3,2,2,0.17,339,40.73,140.49,1316,10,2349
Kitchen and Dining,Serving Utensils,Great,12/2/18,433.2,72.2,361,6,5,5,0.29,516,151.15,145.11,1642,12,2933
Kitchen and Dining,Serving Utensils,Great,11/25/18,-4,-2,-2,2,1,2,0.06,-3,103.1,132.58,2052,17,3663
Kitchen and Dining,Serving Utensils,Great,11/18/18,160.5,53.5,107,3,2,2,0.1,153,67.07,129.85,2064,18,3685
Kitchen and Dining,Serving Utensils,Great,11/11/18,350,0,350,5,5,5,0.21,500,92.71,117.39,2191,19,3913
Kitchen and Dining,Serving Utensils,Great,11/4/18,186,62,124,3,2,2,0.08,177,58.6,108.57,2629,24,4695
Kitchen and Dining,Serving Utensils,Great,10/28/18,20,0,20,2,2,2,0.07,29,124.59,111.02,2571,25,4591
Kitchen and Dining,Serving Utensils,Great,10/21/18,0,113,-113,0,-1,0,-0.04,-161,0,110.53,2444,25,4365
Kitchen and Dining,Serving Utensils,Great,10/14/18,0,0,0,0,0,0,0,0,0,105.07,2609,26,4659
Kitchen and Dining,Serving Utensils,Great,10/7/18,183,0,183,2,2,2,0.07,261,51.51,96.53,2609,26,4659
Kitchen and Dining,Serving Utensils,OK,1/13/19,45,0,45,1,1,1,0.5,64,36.42,62.51,110,1,196
Kitchen and Dining,Serving Utensils,OK,1/6/19,0,0,0,0,0,0,0,0,0,58.31,161,2,287
Kitchen and Dining,Serving Utensils,OK,12/30/18,0,91,-91,0,-1,0,,-130,0,62.79,50,1,88
Kitchen and Dining,Serving Utensils,OK,12/23/18,81,0,81,2,2,2,0.67,116,96.48,66.78,50,1,88
Kitchen and Dining,Serving Utensils,OK,12/16/18,0,0,0,0,0,0,0,0,0,63.28,145,3,259
Kitchen and Dining,Serving Utensils,OK,12/9/18,0,0,0,0,0,0,0,0,0,58.38,113,2,202
Kitchen and Dining,Serving Utensils,OK,12/2/18,115,0,115,2,2,2,0.5,164,67.53,72.24,113,2,202
Kitchen and Dining,Serving Utensils,OK,11/25/18,0,113,-113,0,-1,0,-0.33,-161,0,66.64,256,4,458
Kitchen and Dining,Serving Utensils,OK,11/18/18,116,58,58,2,1,1,0.33,83,2.7,84.21,96,2,171
Kitchen and Dining,Serving Utensils,OK,11/11/18,148,0,148,3,3,3,0.5,211,29.95,47.53,171,3,304
Kitchen and Dining,Serving Utensils,OK,11/4/18,178,0,178,2,2,2,0.29,254,22.1,43.47,299,5,534
Kitchen and Dining,Serving Utensils,OK,10/28/18,168,84,84,2,1,1,0.17,120,22.64,49.77,371,5,662
Kitchen and Dining,Serving Utensils,OK,10/21/18,0,0,0,0,0,0,0,0,0,45.5,470,6,839
Kitchen and Dining,Serving Utensils,OK,10/14/18,39,0,39,1,1,1,0.14,56,30.49,39.69,470,6,839
Kitchen and Dining,Serving Utensils,OK,10/7/18,344,86,258,4,3,3,0.3,369,36.42,34.09,516,7,921
Kitchen and Dining,Knives,Perfect,1/13/19,223.75,44.75,179,5,4,4,0.27,358,116.96,112.21,514,11,934
Kitchen and Dining,Knives,Perfect,1/6/19,36,0,36,1,1,2,0.06,72,64.99,103.67,711,15,1292
Kitchen and Dining,Knives,Perfect,12/30/18,0,51,-51,0,0,2,0,-102,5.78,82.81,750,16,1364
Kitchen and Dining,Knives,Perfect,12/23/18,121.5,40.5,81,3,2,2,0.14,162,59.68,94.99,557,12,1012
Kitchen and Dining,Knives,Perfect,12/16/18,214,0,214,5,5,6,0.26,428,30.34,78.33,648,14,1178
Kitchen and Dining,Knives,Perfect,12/9/18,916,0,916,19,19,19,0.56,1832,34.03,55.23,697,15,1268
Kitchen and Dining,Knives,Perfect,12/2/18,853,0,853,12,12,12,0.27,1706,50.44,53.41,1576,33,2866
Kitchen and Dining,Knives,Perfect,11/25/18,418.67,104.67,314,4,3,3,0.07,628,43.89,49.49,2355,42,4282
Kitchen and Dining,Knives,Perfect,11/18/18,0,108,-108,0,-1,0,-0.02,-216,0,51.87,2388,42,4342
Kitchen and Dining,Knives,Perfect,11/11/18,372,0,372,4,4,4,0.1,744,26.49,46.69,2046,38,3720
Kitchen and Dining,Knives,Perfect,11/4/18,98,0,98,2,2,2,0.05,196,44.97,46.34,2148,40,3906
Kitchen and Dining,Knives,Perfect,10/28/18,70,0,70,1,1,1,0.03,140,6.47,44.1,1892,39,3440
Kitchen and Dining,Knives,Perfect,10/21/18,0,0,0,0,0,0,0,0,0,42.63,1801,37,3274
Kitchen and Dining,Knives,Perfect,10/14/18,298.5,99.5,199,3,2,2,0.08,398,133.44,62.02,1285,24,2336
Kitchen and Dining,Knives,Perfect,10/7/18,70,0,70,1,1,1,0.04,140,7.32,59.99,1353,25,2460
Kitchen and Dining,Knives,Great,1/13/19,40.54,30.54,10,1,0,1,0,20,15.71,103.88,418,7,760
Kitchen and Dining,Knives,Great,1/6/19,52,0,52,1,1,2,0.13,104,11.78,78.47,429,7,780
Kitchen and Dining,Knives,Great,12/30/18,216,0,216,3,3,3,0.27,432,27.49,73.08,482,8,876
Kitchen and Dining,Knives,Great,12/23/18,0,0,0,0,0,0,0,0,0,76.23,735,10,1336
Kitchen and Dining,Knives,Great,12/16/18,0,0,0,0,0,0,0,0,0,95.9,648,8,1178
Kitchen and Dining,Knives,Great,12/9/18,328.5,109.5,219,6,4,4,0.4,438,41.81,84.7,437,6,794
Kitchen and Dining,Knives,Great,12/2/18,18,0,18,1,1,2,0.09,36,32.19,70.21,701,10,1274
Kitchen and Dining,Knives,Great,11/25/18,75,50,25,3,1,1,0.09,50,136.68,74.62,660,10,1200
Kitchen and Dining,Knives,Great,11/18/18,0,0,0,0,0,0,0,0,0,80.22,679,11,1234
Kitchen and Dining,Knives,Great,11/11/18,0,0,0,0,0,0,0,0,0,79.17,645,10,1172
Kitchen and Dining,Knives,Great,11/4/18,0,0,0,0,0,0,0,0,0,74.27,645,10,1172
Kitchen and Dining,Knives,Great,10/28/18,91,0,91,2,2,2,0.17,182,21.02,61.11,645,10,1172
Kitchen and Dining,Knives,Great,10/21/18,0,0,0,0,0,0,0,0,0,56.42,752,12,1368
Kitchen and Dining,Knives,Great,10/14/18,196.5,65.5,131,3,2,2,0.14,262,19.87,49,752,12,1368
Kitchen and Dining,Knives,Great,10/7/18,0,0,0,0,0,0,0,0,0,42.35,884,14,1608
Kitchen and Dining,Knives,OK,1/13/19,47,0,47,1,1,1,0.33,94,181.72,90.86,169,2,308
Kitchen and Dining,Knives,OK,1/6/19,69,0,69,1,1,1,0.25,138,9.7,67.34,221,3,402
Kitchen and Dining,Knives,OK,12/30/18,0,0,0,0,0,0,0,0,0,63.14,297,4,540
Kitchen and Dining,Knives,OK,12/23/18,27,0,27,1,1,1,0.25,54,66.53,74.69,165,3,300
Kitchen and Dining,Knives,OK,12/16/18,47,0,47,1,1,1,0.25,94,79.08,91.56,121,3,220
Kitchen and Dining,Knives,OK,12/9/18,82,0,82,2,2,2,0.33,164,50.67,72.24,173,4,314
Kitchen and Dining,Knives,OK,12/2/18,0,0,0,0,0,0,0,0,0,68.46,263,6,478
Kitchen and Dining,Knives,OK,11/25/18,134,0,134,2,2,2,0.25,268,48.74,58.87,263,6,478
Kitchen and Dining,Knives,OK,11/18/18,0,0,0,0,0,0,0,0,0,54.88,372,8,676
Kitchen and Dining,Knives,OK,11/11/18,0,0,0,0,0,0,0,0,0,49.98,372,8,676
Kitchen and Dining,Knives,OK,11/4/18,45,0,45,1,1,1,0.11,90,123.43,52.5,372,8,676
Kitchen and Dining,Knives,OK,10/28/18,0,0,0,0,0,0,0,0,0,47.88,416,9,756
Kitchen and Dining,Knives,OK,10/21/18,0,0,0,0,0,0,0,0,0,42.98,416,9,756
Kitchen and Dining,Knives,OK,10/14/18,67,0,67,2,2,2,0.18,134,35.81,37.73,416,9,756
Kitchen and Dining,Knives,OK,10/7/18,0,0,0,0,0,0,0,0,0,32.9,474,11,862
Kitchen and Dining,Wine Glasses,Perfect,1/13/19,670,134,536,5,4,6,0.15,596,75.54,98.98,1698,23,2359
Kitchen and Dining,Wine Glasses,Perfect,1/6/19,573.6,95.6,478,6,5,6,0.15,531,55.9,91.91,2435,29,3383
Kitchen and Dining,Wine Glasses,Perfect,12/30/18,886.86,110.86,776,8,7,8,0.18,862,54.52,85.26,2826,33,3925
Kitchen and Dining,Wine Glasses,Perfect,12/23/18,1203.27,100.27,1103,12,11,14,0.22,1226,54.36,71.96,3677,40,5107
Kitchen and Dining,Wine Glasses,Perfect,12/16/18,691,0,691,10,10,14,0.17,768,34.27,65.94,4679,48,6499
Kitchen and Dining,Wine Glasses,Perfect,12/9/18,2406,0,2406,28,28,28,0.37,2673,49.82,62.16,4671,47,6487
Kitchen and Dining,Wine Glasses,Perfect,12/2/18,2700.39,84.39,2616,32,31,32,0.33,2907,27.49,53.34,6419,64,8915
Kitchen and Dining,Wine Glasses,Perfect,11/25/18,1089,0,1089,11,11,15,0.12,1210,42.66,52.92,8111,82,11266
Kitchen and Dining,Wine Glasses,Perfect,11/18/18,1090.1,99.1,991,11,10,10,0.1,1101,55.29,58.8,8620,88,11972
Kitchen and Dining,Wine Glasses,Perfect,11/11/18,2693,0,2693,22,22,22,0.21,2992,42.66,55.02,8073,82,11212
Kitchen and Dining,Wine Glasses,Perfect,11/4/18,1151,0,1151,12,12,12,0.11,1279,58.44,57.05,9533,94,13240
Kitchen and Dining,Wine Glasses,Perfect,10/28/18,3503.77,129.77,3374,27,26,26,0.21,3749,21.71,49.07,10002,97,13892
Kitchen and Dining,Wine Glasses,Perfect,10/21/18,1006.92,71.92,935,14,13,12,0.11,1039,21.25,46.62,11068,107,15373
Kitchen and Dining,Wine Glasses,Perfect,10/14/18,1883.65,104.65,1779,18,17,16,0.15,1977,31.19,50.05,9928,100,13788
Kitchen and Dining,Wine Glasses,Perfect,10/7/18,1057.5,117.5,940,9,8,8,0.08,1044,7.24,52.64,9848,94,13678
Kitchen and Dining,Wine Glasses,Great,1/13/19,264,66,198,4,3,3,0.38,220,79.31,188.86,175,5,243
Kitchen and Dining,Wine Glasses,Great,1/6/19,446,223,223,2,1,1,0.11,248,2.77,164.64,394,8,547
Kitchen and Dining,Wine Glasses,Great,12/30/18,0,0,0,0,0,0,0,0,0,160.09,638,9,886
Kitchen and Dining,Wine Glasses,Great,12/23/18,544.8,90.8,454,6,5,5,0.42,504,21.1,125.72,242,7,336
Kitchen and Dining,Wine Glasses,Great,12/16/18,700,175,525,8,6,6,0.35,583,2.23,92.82,518,11,720
Kitchen and Dining,Wine Glasses,Great,12/9/18,377.5,75.5,302,5,4,4,0.31,336,10.86,81.48,460,9,639
Kitchen and Dining,Wine Glasses,Great,12/2/18,317.33,79.33,238,4,3,4,0.2,264,30.72,86.17,677,12,940
Kitchen and Dining,Wine Glasses,Great,11/25/18,422,211,211,4,2,2,0.15,234,81.08,99.61,741,11,1030
Kitchen and Dining,Wine Glasses,Great,11/18/18,586.67,146.67,440,4,3,3,0.19,489,14.17,111.23,991,13,1377
Kitchen and Dining,Wine Glasses,Great,11/11/18,0,151,-151,0,-1,0,-0.09,-168,0,101.29,915,12,1271
Kitchen and Dining,Wine Glasses,Great,11/4/18,619.2,103.2,516,6,5,5,0.29,573,21.25,90.58,915,12,1271
Kitchen and Dining,Wine Glasses,Great,10/28/18,20.42,14.42,6,1,0,1,0,7,75,83.23,1417,17,1968
Kitchen and Dining,Wine Glasses,Great,10/21/18,290,145,145,2,1,1,0.07,161,8.16,94.43,861,13,1196
Kitchen and Dining,Wine Glasses,Great,10/14/18,665,133,532,5,4,4,0.25,591,22.87,93.17,849,12,1179
Kitchen and Dining,Wine Glasses,Great,10/7/18,424.5,141.5,283,3,2,6,0.12,314,9.78,58.94,1283,15,1781
Kitchen and Dining,Wine Glasses,OK,1/6/19,0,0,0,0,0,0,,0,0,39.62,0,0,0
Kitchen and Dining,Wine Glasses,OK,12/30/18,0,0,0,0,0,0,,0,0,34.72,0,0,0
Kitchen and Dining,Wine Glasses,OK,12/23/18,259,0,259,4,4,4,1,288,54.52,46.41,0,0,0
Kitchen and Dining,Wine Glasses,OK,12/16/18,0,131,-131,0,-1,0,-0.5,-146,0,54.81,235,3,327
Kitchen and Dining,Wine Glasses,OK,12/9/18,10.11,75.11,-65,1,0,1,0,-72,152.61,115.15,167,2,232
Kitchen and Dining,Wine Glasses,OK,12/2/18,388,97,291,4,3,3,0.6,323,35.5,54.11,167,2,232
Kitchen and Dining,Wine Glasses,OK,11/25/18,45,0,45,1,1,1,0.17,50,64.37,52.5,507,5,704
Kitchen and Dining,Wine Glasses,OK,11/18/18,567,0,567,5,5,5,0.5,630,35.81,39.41,418,5,581
Kitchen and Dining,Wine Glasses,OK,11/11/18,173,0,173,2,2,2,0.15,192,25.33,35.28,1087,11,1509
Kitchen and Dining,Wine Glasses,OK,11/4/18,229,0,229,2,2,2,0.18,254,0.69,41.02,674,9,937
Kitchen and Dining,Wine Glasses,OK,10/28/18,42,0,42,1,1,1,0.11,47,20.25,47.74,581,8,807
Kitchen and Dining,Wine Glasses,OK,10/21/18,0,0,0,0,0,0,0,0,0,44.87,490,8,680
